target_text,search_text,body_type
4797,4797 Ako,4797 Ako,asteroid
152217,152217 Akosipov,152217 Akosipov,asteroid
9549,9549 Akplatonov,9549 Akplatonov,asteroid
23975,23975 Akran,23975 Akran,asteroid
26447,26447 Akrishnan,26447 Akrishnan,asteroid
4777,4777 Aksenov,4777 Aksenov,asteroid
2067,2067 Aksnes,2067 Aksnes,asteroid
7385,7385 Aktsynovia,7385 Aktsynovia,asteroid
10164,10164 Akusekijima,10164 Akusekijima,asteroid
13498,13498 Al Chwarizmi,13498 Al Chwarizmi,asteroid
7060,7060 Al-'Ijliya,7060 Al-'Ijliya,asteroid
9936,9936 Al-Biruni,9936 Al-Biruni,asteroid
7057,7057 Al-Farabi,7057 Al-Farabi,asteroid
11156,11156 Al-Khwarismi,11156 Al-Khwarismi,asteroid
7058,7058 Al-Tusi,7058 Al-Tusi,asteroid
54521,54521 Aladdin,54521 Aladdin,asteroid
31470,31470 Alagappan,31470 Alagappan,asteroid
738,738 Alagasta,738 Alagasta,asteroid
260508,260508 Alagna,260508 Alagna,asteroid
1969,1969 Alain,1969 Alain,asteroid
13534,13534 Alain-Fournier,13534 Alain-Fournier,asteroid
34304,34304 Alainagarza,34304 Alainagarza,asteroid
33163,33163 Alainaspect,33163 Alainaspect,asteroid
24988,24988 Alainmilsztajn,24988 Alainmilsztajn,asteroid
2927,2927 Alamosa,2927 Alamosa,asteroid
15131,15131 Alanalda,15131 Alanalda,asteroid
14158,14158 Alananderson,14158 Alananderson,asteroid
29137,29137 Alanboss,29137 Alanboss,asteroid
9291,9291 Alanburdick,9291 Alanburdick,asteroid
4420,4420 Alandreev,4420 Alandreev,asteroid
4151,4151 Alanhale,4151 Alanhale,asteroid
20259,20259 Alanhoffman,20259 Alanhoffman,asteroid
24898,24898 Alanholmes,24898 Alanholmes,asteroid
327030,327030 Alanmaclure,327030 Alanmaclure,asteroid
6227,6227 Alanrubin,6227 Alanrubin,asteroid
25979,25979 Alansage,25979 Alansage,asteroid
17225,17225 Alanschorn,17225 Alanschorn,asteroid
20341,20341 Alanstack,20341 Alanstack,asteroid
342764,342764 Alantitus,342764 Alantitus,asteroid
21330,21330 Alanwhitman,21330 Alanwhitman,asteroid
2500,2500 Alascattalo,2500 Alascattalo,asteroid
19148,19148 Alaska,19148 Alaska,asteroid
200069,200069 Alastor,200069 Alastor,asteroid
702,702 Alauda,702 Alauda,asteroid
111468,111468 Alba Regia,111468 Alba Regia,asteroid
5576,5576 Albanese,5576 Albanese,asteroid
31468,31468 Albastaki,31468 Albastaki,asteroid
